Apartado,concepto,precio unitario,und,total,suma
Desplazamientos,,,,,"6.002,00 €"
,Round 1,"1.576,00 €",1,"1.576,00 €",
,Round 2,"776,00 €",1,"776,00 €",
,Round 3,"1.028,00 €",1,"1.028,00 €",
,Round 4,"1.140,00 €",1,"1.140,00 €",
,Round 5,"792,00 €",1,"792,00 €",
,Round 6 ,"690,00 €",1,"690,00 €",
,Warm up,"640,00 €",1,"640,00 €",
,,,,,
Competición,,,,,"13.068,00 €"
,Round 1,"2.178,00 €",1,"2.178,00 €",
,Round 2,"2.178,00 €",1,"2.178,00 €",
,Round 3,"2.178,00 €",1,"2.178,00 €",
,Round 4,"2.178,00 €",1,"2.178,00 €",
,Round 5,"2.178,00 €",1,"2.178,00 €",
,Round 6 ,"2.178,00 €",1,"2.178,00 €",
,Inscripción,"3.484,80 €",1,"3.484,80 €",
,,,,,
Modificaciones,,,,,"20.215,00 €"
,Drinking System,"2.454,00 €",1,"2.454,00 €",
,Sist. radio equipo,"1.990,00 €",1,"1.990,00 €",
,Sist. radio piloto,"757,00 €",1,"757,00 €",
,Aire acond.,"12.800,00 €",1,"12.800,00 €",
,Sist. jaula,"1.600,00 €",1,"1.600,00 €",
,Sist. Extinción,"614,00 €",1,"614,00 €",
